project_id,project_type,terrain_type,terrain_difficulty_score,permit_complexity,permit_delay_months,material_availability,vendor_rating,skilled_manpower_ratio,demand_pressure,start_month,weather_severity_index,planned_cost_lakhs,actual_cost_lakhs,planned_duration_months,actual_duration_months
PG_00001,substation,forest,5,low,0.5,low,4.7,70,medium,1,1.65,86,126.38,15,20.4
PG_00002,substation,hilly,4,low,0.5,low,2.8,82,high,9,3.88,111,193.14,25,33.5
PG_00003,underground_cable,plain,1,low,0.5,low,5.0,77,high,7,4.38,243,372.32,35,43.7
PG_00004,underground_cable,hilly,4,low,0.5,medium,3.9,79,low,12,2.18,144,170.64,24,30.7
PG_00005,overhead_line,forest,5,medium,1.5,low,3.2,67,medium,10,2.41,90,135.71,24,33.3
PG_00006,overhead_line,hilly,4,medium,1.5,high,3.7,89,low,2,1.85,117,130.17,35,44.1
PG_00007,overhead_line,coastal,3,medium,1.5,medium,3.7,68,medium,11,2.31,130,155.89,36,45.6
PG_00008,overhead_line,urban,2,low,0.5,low,4.1,94,low,9,4.09,78,103.4,22,26.9
PG_00009,underground_cable,hilly,4,medium,1.5,medium,2.7,62,medium,2,1.88,194,246.81,40,52.7
PG_00010,substation,urban,2,low,0.5,high,2.9,80,medium,5,3.49,175,206.84,28,34.7
PG_00011,substation,forest,5,low,0.5,high,3.4,67,low,10,1.15,92,109.73,14,19.3
PG_00012,underground_cable,coastal,3,high,3.0,high,2.8,88,medium,2,2.16,142,168.74,42,53.8
PG_00013,underground_cable,forest,5,low,0.5,low,5.0,71,high,8,4.55,155,265.75,36,50.5
PG_00014,underground_cable,coastal,3,medium,1.5,low,4.3,57,high,2,1.64,134,207.51,28,37.0
PG_00015,substation,coastal,3,low,0.5,medium,4.8,64,medium,6,4.9,154,193.18,20,26.9
PG_00016,substation,urban,2,high,3.0,high,5.0,64,medium,9,4.13,107,123.13,27,37.6
PG_00017,substation,urban,2,medium,1.5,high,3.1,65,medium,6,4.61,176,213.0,26,35.0
PG_00018,underground_cable,forest,5,medium,1.5,medium,2.8,94,high,11,1.09,192,285.45,30,39.7
